,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Esperance,AU,-33.8667,121.9,56.55,80,100,10.38,overcast clouds
80,Machinga,MW,-15.1685,35.3,66.99,99,100,1.57,heavy intensity rain
81,Sarangani,PH,5.4033,125.4636,81.34,77,71,13.53,broken clouds
82,Magdagachi,RU,53.45,125.8,-22.86,97,100,5.19,overcast clouds
83,Cape Town,ZA,-33.9258,18.4232,72.09,79,29,5.28,scattered clouds
84,Huilong,CN,31.8111,121.655,35.22,53,5,2.66,clear sky
85,Millau,FR,44.0833,2.9167,32.13,98,96,3.87,overcast clouds
86,Phan Thiet,VN,10.9333,108.1,72.73,75,98,3.65,overcast clouds
87,Inuvik,CA,68.3499,-133.7218,2.16,85,100,3.44,light snow
88,Balaipungut,ID,1.05,101.2833,71.73,98,100,1.14,overcast clouds
89,Governador Dix-Sept Rosado,BR,-5.4577,-37.5209,82.74,61,83,11.41,broken clouds
90,Faya,SA,18.3851,42.4509,52.32,66,69,3.02,broken clouds
91,Salinopolis,BR,-0.6136,-47.3561,74.03,89,100,6.89,overcast clouds
92,Camp Verde,US,34.5636,-111.8543,52.25,46,58,2.82,broken clouds
93,Oussouye,SN,12.485,-16.5469,75.61,53,0,4.76,clear sky
94,Torbay,CA,47.6666,-52.7314,40.57,90,100,5.01,overcast clouds
95,Poum,NC,-20.2333,164.0167,79.29,75,65,15.28,broken clouds
96,Bauchi,NG,10.5,10.0,68.67,27,6,3.71,clear sky
97,Tortoli,IT,39.9256,9.6572,46.24,72,100,7.92,overcast clouds
98,Nishihara,JP,26.1842,127.7558,60.08,63,75,13.8,broken clouds
99,Portland,US,45.5234,-122.6762,43.99,93,100,7.0,light rain
100,Rovaniemi,FI,66.5,25.7167,33.21,93,100,12.66,overcast clouds
101,Barrow,US,71.2906,-156.7887,-3.98,77,100,21.85,overcast clouds
102,Ahipara,NZ,-35.1667,173.1667,69.46,69,5,8.1,clear sky
103,Luderitz,NA,-26.6481,15.1594,67.1,84,9,13.29,clear sky
104,Sakakah,SA,29.9697,40.2064,50.97,55,0,3.65,clear sky
105,Brewster,US,41.3973,-73.6171,49.21,66,20,13.8,few clouds
106,Aykhal,RU,66.0,111.5,-47.0,100,100,1.19,overcast clouds
107,Berezniki,RU,59.4152,56.8124,10.44,96,100,6.06,overcast clouds
108,Klaksvik,FO,62.2266,-6.589,38.32,87,92,20.38,overcast clouds
109,Tautira,PF,-17.7333,-149.15,80.6,72,52,15.93,broken clouds
110,Namibe,AO,-15.1961,12.1522,74.86,71,100,8.16,overcast clouds
111,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,78,100,17.27,overcast clouds
112,Busayra,JO,30.7376,35.6078,46.9,45,0,6.58,clear sky
113,Ilulissat,GL,69.2167,-51.1,-30.17,68,1,6.06,clear sky
114,Zyryanka,RU,65.75,150.85,-23.82,97,100,11.5,overcast clouds
115,Roma,US,43.2128,-75.4557,39.09,95,100,8.05,overcast clouds
116,Lincoln,US,40.8,-96.667,33.71,94,100,11.5,moderate rain
117,Adrasmon,TJ,40.6472,69.9856,20.93,33,100,2.86,overcast clouds
118,San Cristobal,VE,7.7669,-72.225,77.18,53,71,2.68,broken clouds
119,Emerald,AU,-23.5333,148.1667,69.35,90,0,6.69,clear sky
120,Airai,TL,-8.9266,125.4092,60.58,94,100,1.99,moderate rain
121,Katsuura,JP,35.1333,140.3,45.93,73,100,15.97,overcast clouds
122,Minab,IR,27.1467,57.0801,59.67,60,50,15.99,scattered clouds
123,Hermanus,ZA,-34.4187,19.2345,69.8,88,43,4.47,scattered clouds
124,Robertsport,LR,6.7533,-11.3686,79.75,84,18,10.29,few clouds
125,Price,US,39.5994,-110.8107,35.11,43,0,9.22,clear sky
126,Kaitangata,NZ,-46.2817,169.8464,65.71,69,22,1.32,few clouds
127,Kangaatsiaq,GL,68.3065,-53.4641,-21.42,81,3,8.39,clear sky
128,Evensk,RU,61.95,159.2333,-8.27,73,100,10.6,overcast clouds
