,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Mananjary,MG,74.77,light rain,-21.2167,48.3333,Ideal Hotel Annexe
294,Touros,BR,79.93,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
303,Atambua,ID,73.53,overcast clouds,-9.1061,124.8925,Hotel Matahari
306,Mogadishu,SO,77.31,overcast clouds,2.0371,45.3438,SYL Hotel
313,Meulaboh,ID,72.77,broken clouds,4.1363,96.1285,Hotel Meuligou
315,Mayumba,GA,77.97,light rain,-3.432,10.6554,Résidence Hôtelière Fabso
320,Moerai,PF,78.28,overcast clouds,-22.4333,-151.3333,Manotel Rurutu
324,Vao,NC,72.46,moderate rain,-22.6667,167.4833,Nataiwatch
327,Ciudad Bolivar,VE,88.45,broken clouds,8.1222,-63.5497,Paoca
330,Mbandaka,CD,81.64,overcast clouds,0.0487,18.2603,Hôtel Epervier
331,Cairns,AU,77.07,overcast clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
337,Inhambane,MZ,78.94,overcast clouds,-23.865,35.3833,Hotel de Inhambane
345,Sao Filipe,CV,75.63,clear sky,14.8961,-24.4956,Bela Vista
347,Quatre Cocos,MU,78.91,moderate rain,-20.2078,57.7625,Horisun
349,Manta,EC,82.18,few clouds,-0.95,-80.7333,La Gaviota
350,Kudat,MY,76.93,few clouds,6.8837,116.8477,Hotel Ria
353,Maroantsetra,MG,78.01,heavy intensity rain,-15.4333,49.7333,Coco Beach
355,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,Hotel Candra Adiguna
360,Banda Aceh,ID,75.67,overcast clouds,5.5577,95.3222,Hotel 61
361,Mahibadhoo,MV,79.86,broken clouds,3.7833,72.9667,Coral View Inn
362,Bulalacao,PH,77.49,moderate rain,12.3254,121.3435,South drive 
366,Sao Joao Da Barra,BR,80.69,clear sky,-21.6403,-41.0511,Pousada Mediterrâneo
375,Maturin,VE,82.24,light rain,9.75,-63.1767,Hotel Rossi
377,Sinnamary,GF,76.69,scattered clouds,5.3833,-52.95,Hôtel du fleuve
378,Lujan,AR,85.05,overcast clouds,-34.5703,-59.105,Bella vita
380,Warri,NG,80.51,few clouds,5.5167,5.75,Warri Sapele Road
382,Tuban,ID,76.86,light rain,-6.8976,112.0649,Hotel Saras
384,Angoche,MZ,78.98,overcast clouds,-16.2325,39.9086,Hotel Quirimbas
387,Porto Novo,BJ,79.39,clear sky,6.4965,2.6036,Hôtel 6500 CFA
392,Waingapu,ID,77.77,overcast clouds,-9.6567,120.2641,HOTEL SANDLEWOOD
394,Basco,PH,73.87,overcast clouds,20.4487,121.9702,Tawsen Hotel
397,San Buenaventura,MX,80.47,clear sky,27.0833,-101.5333,Hotel Casa Bonita
402,Salalah,OM,73.49,clear sky,17.0151,54.0924,Muscat International Hotel
409,Biltine,TD,72.75,broken clouds,14.5333,20.9167,فندق ثلاث نجوم بلتن
414,Prado,BR,77.54,few clouds,-17.3411,-39.2208,Pousada Recanto do Prado
415,Sao Sebastiao,BR,77.94,broken clouds,-23.76,-45.4097,Hotel do Sol Executive
418,Mecca,SA,73.2,clear sky,21.4267,39.8261,Rehab Al Marwa Hotel 1
421,Mareeba,AU,72.45,overcast clouds,-17.0,145.4333,The Gateway Hotel
423,Yenagoa,NG,80.8,few clouds,4.9247,6.2642,Peretimi Hotels Ltd.
